"product_id","product_name","original_price","capacity","brand","top_note","heart_note","base_note","rating","number_of_raters","brand_id","selling_price","website_id"
41,Christian Dior Miss Dior Blooming Bouquet 淡香水套裝 2件裝,"1,474.00","2件裝",Dior,香豌豆、香檸檬,玫瑰、牡丹,白麝香,4.0,9072.0,39,949.00,1
66,Christian Dior Miss Dior Blooming Bouquet 淡香水5毫升,"115.00","5毫升",Dior,香豌豆、香檸檬,玫瑰、牡丹,白麝香,4.0,9072.0,39,98.00,1
70,Christian Dior Miss Dior Wake up for Love 香水 50毫升,"1,110.00","50毫升",Dior,鈴蘭、牡丹、鳶尾花、翠綠露水,五月玫瑰,麝香木、巴布亞香草、安息香、零陵香豆、檀木,NaN,NaN,39,749.00,1
81,Christian Dior Miss Dior Rose N Roses 淡香水 50毫升,"900.00",NaN,Dior,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,4.0,730.0,39,616.00,1
87,Christian Dior J’adore Parfum D’eau 淡香精 100毫升,"1,600.00","100毫升",Dior,NaN,NaN,NaN,4.0,317.0,39,1159.00,1
88,Christian Dior J'adore L'Or 香精 50毫升,"1,700.00","50毫升",Dior,橙花,茉莉、玫瑰,香草,NaN,NaN,39,1190.00,1
94,Christian Dior Sauvage 香精 100毫升,"1,310.00","100毫升",Dior,柑橘,陵香豆、檀香木,NaN,NaN,NaN,39,967.00,1
110,Christian Dior Miss Dior Wake up for Love 香水 5毫升,"140.00","5毫升",Dior,鈴蘭、牡丹、鳶尾花、翠綠露水,五月玫瑰,麝香木、巴布亞香草、安息香、零陵香豆、檀木,NaN,NaN,39,98.00,1
141,Christian Dior Miss Dior Rose N’Roses 淡香水 5毫升,"115.00","5毫升",Dior,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,4.0,730.0,39,98.00,1
142,Christian Dior J’adore 淡香水 100毫升,"1,300.00",NaN,Dior,血橙精華,瓦洛里橙花,大馬士革玫瑰精華,4.0,19420.0,39,928.00,1
150,Christian Dior 真我噴式香水 50亳升,"1,110.00","50亳升",Dior,NaN,NaN,NaN,NaN,NaN,39,835.00,1
206,Christian Dior 真我噴式香水 100亳升,"1,600.00","100亳升",Dior,NaN,NaN,NaN,NaN,NaN,39,1065.00,1
439,Christian Dior Miss Dior Rose N Roses 淡香水 100毫升,"1,300.00",NaN,Dior,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,4.0,730.0,39,760.00,1
500,Christian Dior J’adore Infinissime 淡香精 50毫升,"1,170.00",NaN,Dior,血橙、佛手柑,格拉斯晚香玉、雙瓣茉莉、依蘭依蘭及五月玫瑰,檀香木,3.5,225.0,39,799.00,1
2,Christian Dior Sauvage 男士淡香水 100亳升,"990.00","100亳升",Dior,卡拉布里亞佛手柑,降龍涎香,NaN,NaN,NaN,39,850.00,1
5,Christian Dior Miss Dior Blooming Bouquet 淡香水 100毫升,"1,340.00","100毫升",Dior,香豌豆、香檸檬,玫瑰、牡丹,白麝香,4.0,9072.0,39,855.00,1
212,Christian Dior J’adore Parfum D’eau 淡香精 50毫升,"1,110.00","50毫升",Dior,NaN,NaN,NaN,NaN,NaN,39,799.00,1
509,Christian Dior 迪奥小姐花漾迷你淡香水 5毫升,"115.00",NaN,Dior,西西里香橙,牡丹花,白麝香,NaN,NaN,39,98.00,1
513,Christian Dior Miss Dior Blooming Bouquet走珠淡香水 20毫升,"430.00",NaN,Dior,卡拉布里亞香檸檬,大馬士革玫瑰精華、牡丹花,白麝香,4.5,268.0,39,299.00,1
516,【網店限定】Christian Dior 甜心精靈噴式淡香水(EDT) 100毫升,"1,100.00",NaN,Dior,NaN,NaN,NaN,NaN,NaN,39,715.00,1
121,【網店限定】Hermes 屋頂花園 淡香水,"760.00","50毫升",Hermès,蘋果、香梨、玫瑰,綠草、羅勒,木蘭,NaN,NaN,17,549.00,1
124,Hermes 花園系列迷你香水套裝 4件裝,"515.00","4件裝",Hermès,青芒果、葡萄柚•中調：,尼羅河睡蓮、青草香氣•後調：,梧桐、乳香,NaN,NaN,17,437.00,1
